"","year","area","street","street2","html"
"3219",2012,"birmingham","SOUTHPARADESUTTONCOLDFIELD"," south parade, sutton coldfield",""
"3220",2012,"birmingham","SOUTHPARADESUTTONCOLDFIELD"," south parade, sutton coldfield",""
"3221",2012,"birmingham","SouthParadeSuttonColdfield"," south parade, sutton coldfield",""
"3222",2012,"birmingham","SouthParadeSuttonColdfieldBirmingham"," south parade, sutton coldfield, birmingham",""
"3223",2012,"birmingham","SouthParadesSuttonColdfield"," south parades, sutton coldfield",""
"3224",2012,"birmingham","StMaryStJohnSocialClubGravellyHillNorth"," st mary & st john social club, gravelly hill north",""
"3225",2012,"birmingham","SuttonNewRoad","sutton new road",""
"3226",2012,"birmingham","SuttonNewRoadErdington"," sutton new road, erdington",""
"3227",2012,"birmingham","SuttonNewRoadErdington"," sutton new road, erdington",""
"3228",2012,"birmingham","SuttonNewRoadErdington"," sutton new road, erdington",""
"3229",2012,"birmingham","SuttonNewRoadErdington"," sutton new road, erdington",""
"3230",2012,"birmingham","SuttonNewRoadErdington"," sutton new road, erdington",""
"3231",2012,"birmingham","SuttonNewRoadErdington"," sutton new road, erdington",""
"3232",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3233",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3234",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3235",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3236",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3237",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3238",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3239",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3240",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3241",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3242",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3243",2012,"birmingham","SuttonTownCentre","sutton town centre",""
"3244",2012,"birmingham","SuttonTownCentreoutsideMooMoos","sutton town centre outside moo moo's",""
"3245",2012,"birmingham","SycamoreRoadErdingon"," sycamore road, erdingon",""
"3246",2012,"birmingham","TamworthRoadSuttonColdfield"," tamworth road, sutton coldfield",""
"3247",2012,"birmingham","tangmereDrivecastlevale"," tangmere drive, castle vale",""
"3248",2012,"birmingham","TheGardensErdington"," the gardens, erdington",""
"3249",2012,"birmingham","TheGreenHouseFourOaksBirmingham"," the green house, four oaks, birmingham",""
"3250",2012,"birmingham","TheGreenHouseFourOaksSuttonColdfield"," the green house, four oaks, sutton coldfield",""
"3251",2012,"birmingham","TheParade","the parade",""
"3252",2012,"birmingham","TheParade","the parade",""
"3253",2012,"birmingham","TheParade","the parade",""
"3254",2012,"birmingham","TheParadeSC","the parade s/c",""
"3255",2012,"birmingham","TheParadeSuttonTownCentre","the parade suttontown centre",""
"3256",2012,"birmingham","TheParadeSuttonColdfield"," the parade, sutton coldfield",""
"3257",2012,"birmingham","TheParadeSuttonColdfield"," the parade, sutton coldfield",""
"3258",2012,"birmingham","TheParadeSuttonColdfield"," the parade, sutton coldfield",""
"3259",2012,"birmingham","TheparadeSuttonColdfield"," the parade, sutton coldfield",""
"3260",2012,"birmingham","TheParadeSuttonColdfield"," the parade, sutton coldfield",""
"3261",2012,"birmingham","TheparadeSuttonColdfield"," the parade, sutton coldfield",""
"3262",2012,"birmingham","TheParadeSuttonColdfield"," the parade, sutton coldfield",""
"3263",2012,"birmingham","TheParadeSuttonColdfield"," the parade, sutton coldfield",""
"3264",2012,"birmingham","TheParadeSuttonColdfield"," the parade, sutton coldfield.",""
"3265",2012,"birmingham","TheWyldeGreenPublicHouse","the wylde green public house",""
"3266",2012,"birmingham","TurnhouseRoadCastleVale"," turnhouse road, castle vale",""
"3267",2012,"birmingham","UNKNOWN","unknown",""
"3268",2012,"birmingham","VictoriaRoadSuttonColdfield"," victoria road, sutton coldfield",""
